componente,ano4,codusu,nro_hogar,Sexo,ch06,ch07,ch08,nivel_ed,estado,cat_ocup,cat_inac,itf,ipcf,pp07h,pp03c,p47t,p21,pp03g,Edad,adulto_equiv,ad_equiv_hogar,ingreso_necesario,pobre
1.0,2005,127292,1.0,Mujer,73,Viudo,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,,Jubilado/pensionado,2624.0,1312.0,,,424.0,0.0,,61 a 75 años,0.67,1.67,342.46689999999995,0
2.0,2005,127292,1.0,Varón,52,Soltero,Obra social (incluye PAMI),Superior Universitaria Completa,Ocupado,Obrero o empleado,,2624.0,1312.0,Sí,...más de un empleo/ocupación/actividad?,2200.0,1500.0,No,46 a 60 años,1.0,1.67,342.46689999999995,0
1.0,2005,127532,1.0,Varón,38,Casado,Obra social (incluye PAMI),Superior Universitaria Completa,Desocupado,Obrero o empleado,,1730.0,576.6666666666666,,,0.0,0.0,,30 a 45 años,1.0,2.23,457.30609999999996,0
2.0,2005,127532,1.0,Mujer,37,Casado,Obra social (incluye PAMI),Superior Universitaria Completa,Ocupado,Obrero o empleado,,1730.0,576.6666666666666,Sí,...más de un empleo/ocupación/actividad?,1730.0,230.0,No,30 a 45 años,0.77,2.23,457.30609999999996,0
3.0,2005,127532,1.0,Mujer,2,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,,Menor de 6 años,1730.0,576.6666666666666,,,0.0,0.0,,2 años,0.46,2.23,457.30609999999996,0
1.0,2005,130206,1.0,Mujer,77,Viudo,Obra social (incluye PAMI),Primaria Completa,Inactivo,,Jubilado/pensionado,700.0,350.0,,,400.0,0.0,,más de 75 años,0.63,1.3900000000000001,285.0473,0
2.0,2005,130206,1.0,Mujer,55,Separado o divorciado,No paga ni le descuentan,Primaria Completa,Ocupado,Obrero o empleado,,700.0,350.0,No,...un sólo empleo/ocupación/actividad?,300.0,300.0,Sí,46 a 60 años,0.76,1.3900000000000001,285.0473,0
1.0,2005,130257,1.0,Mujer,58,Soltero,No paga ni le descuentan,Secundaria Completa,Inactivo,,Ama de casa,3300.0,550.0,,,150.0,0.0,,46 a 60 años,0.76,4.86,996.6402,0
2.0,2005,130257,1.0,Varón,58,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Ocupado,Obrero o empleado,,3300.0,550.0,Sí,...un sólo empleo/ocupación/actividad?,2450.0,1700.0,No,46 a 60 años,1.0,4.86,996.6402,0
3.0,2005,130257,1.0,Varón,20,Soltero,Obra social (incluye PAMI),Primaria Completa,Ocupado,Obrero o empleado,,3300.0,550.0,Sí,...un sólo empleo/ocupación/actividad?,700.0,500.0,No,18 a 29 años,1.02,4.86,996.6402,0
4.0,2005,130257,1.0,Varón,14,Soltero,No paga ni le descuentan,Secundaria Incompleta,Inactivo,,Estudiante,3300.0,550.0,,,0.0,0.0,,14 años,0.96,4.86,996.6402,0
5.0,2005,130257,1.0,Mujer,17,Soltero,Obra social (incluye PAMI),Primaria Completa,Inactivo,,Otros,3300.0,550.0,,,0.0,0.0,,17 años,0.77,4.86,996.6402,0
6.0,2005,130257,1.0,Varón,0,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,,Menor de 6 años,3300.0,550.0,,,0.0,0.0,,0 años,0.35,4.86,996.6402,0
1.0,2005,131006,1.0,Varón,39,Unido,Obra social (incluye PAMI),Primaria Completa,Ocupado,Obrero o empleado,,2150.0,537.5,Sí,...un sólo empleo/ocupación/actividad?,850.0,850.0,No,30 a 45 años,1.0,2.64,541.3848,0
2.0,2005,131006,1.0,Mujer,27,Unido,Obra social (incluye PAMI),Secundaria Completa,Ocupado,Obrero o empleado,,2150.0,537.5,Sí,...un sólo empleo/ocupación/actividad?,1300.0,1300.0,No,18 a 29 años,0.76,2.64,541.3848,0
3.0,2005,131006,1.0,Varón,3,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,,Menor de 6 años,2150.0,537.5,,,0.0,0.0,,3 años,0.51,2.64,541.3848,0
4.0,2005,131006,1.0,Mujer,1,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,,Menor de 6 años,2150.0,537.5,,,0.0,0.0,,1 años,0.37,2.64,541.3848,0
1.0,2005,131317,1.0,Varón,46,Casado,Obra social (incluye PAMI),Secundaria Completa,Ocupado,Obrero o empleado,,3100.0,387.5,No,...un sólo empleo/ocupación/actividad?,2000.0,2000.0,No,46 a 60 años,1.0,6.47,1326.8029,0
2.0,2005,131317,1.0,Mujer,42,Casado,Obra social (incluye PAMI),Secundaria Completa,Ocupado,Obrero o empleado,,3100.0,387.5,Sí,...un sólo empleo/ocupación/actividad?,400.0,400.0,No,30 a 45 años,0.77,6.47,1326.8029,0
3.0,2005,131317,1.0,Mujer,24,Soltero,No paga ni le descuentan,Secundaria Completa,Ocupado,Obrero o empleado,,3100.0,387.5,No,...un sólo empleo/ocupación/actividad?,0.0,0.0,No,18 a 29 años,0.76,6.47,1326.8029,0
4.0,2005,131317,1.0,Mujer,23,Soltero,No paga ni le descuentan,Secundaria Completa,Inactivo,,Ama de casa,3100.0,387.5,,,0.0,0.0,,18 a 29 años,0.76,6.47,1326.8029,0
5.0,2005,131317,1.0,Varón,20,Soltero,Obra social (incluye PAMI),Secundaria Completa,Ocupado,Obrero o empleado,,3100.0,387.5,Sí,...un sólo empleo/ocupación/actividad?,700.0,700.0,No,18 a 29 años,1.02,6.47,1326.8029,0
6.0,2005,131317,1.0,Mujer,14,Soltero,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,,Estudiante,3100.0,387.5,,,0.0,0.0,,14 años,0.76,6.47,1326.8029,0
7.0,2005,131317,1.0,Mujer,10,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,3100.0,387.5,,,0.0,0.0,,10 años,0.7,6.47,1326.8029,0
8.0,2005,131317,1.0,Mujer,10,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,3100.0,387.5,,,0.0,0.0,,10 años,0.7,6.47,1326.8029,0
1.0,2005,132050,1.0,Varón,62,Casado,Obra social y mutual/prepaga/servicio de emergencia,Superior Universitaria Completa,Inactivo,,Jubilado/pensionado,1000.0,500.0,,,1000.0,0.0,,61 a 75 años,0.83,1.5899999999999999,326.06129999999996,0
2.0,2005,132050,1.0,Mujer,59,Casado,Obra social y mutual/prepaga/servicio de emergencia,Superior Universitaria Completa,Inactivo,,Ama de casa,1000.0,500.0,,,0.0,0.0,,46 a 60 años,0.76,1.5899999999999999,326.06129999999996,0
1.0,2005,133015,1.0,Varón,47,Casado,Obra social (incluye PAMI),Primaria Completa,Ocupado,Patrón,,4000.0,1333.3333333333333,,...un sólo empleo/ocupación/actividad?,4000.0,4000.0,No,46 a 60 años,1.0,2.81,576.2467,0
2.0,2005,133015,1.0,Mujer,44,Casado,Obra social (incluye PAMI),Secundaria Completa,Inactivo,,Ama de casa,4000.0,1333.3333333333333,,,0.0,0.0,,30 a 45 años,0.77,2.81,576.2467,0
4.0,2005,133015,1.0,Varón,17,Soltero,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,,Estudiante,4000.0,1333.3333333333333,,,0.0,0.0,,17 años,1.04,2.81,576.2467,0
1.0,2005,133739,1.0,Varón,54,Casado,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Ocupado,Cuenta propia,,1450.0,241.66666666666666,,...un sólo empleo/ocupación/actividad?,650.0,600.0,Sí,46 a 60 años,1.0,5.59,1146.3412999999998,0
2.0,2005,133739,1.0,Mujer,41,Casado,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Inactivo,,Ama de casa,1450.0,241.66666666666666,,,0.0,0.0,,30 a 45 años,0.77,5.59,1146.3412999999998,0
3.0,2005,133739,1.0,Mujer,23,Soltero,No paga ni le descuentan,Primaria Completa,Desocupado,Obrero o empleado,,1450.0,241.66666666666666,,,0.0,0.0,,18 a 29 años,0.76,5.59,1146.3412999999998,0
4.0,2005,133739,1.0,Varón,21,Soltero,No paga ni le descuentan,Primaria Completa,Ocupado,Cuenta propia,,1450.0,241.66666666666666,,...un sólo empleo/ocupación/actividad?,400.0,400.0,Sí,18 a 29 años,1.02,5.59,1146.3412999999998,0
5.0,2005,133739,1.0,Varón,18,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Ocupado,Cuenta propia,,1450.0,241.66666666666666,,...un sólo empleo/ocupación/actividad?,400.0,400.0,Sí,18 a 29 años,1.02,5.59,1146.3412999999998,0
6.0,2005,133739,1.0,Varón,19,Soltero,No paga ni le descuentan,Primaria Completa,Desocupado,Obrero o empleado,,1450.0,241.66666666666666,,,0.0,0.0,,18 a 29 años,1.02,5.59,1146.3412999999998,0
1.0,2005,134530,1.0,Varón,55,Viudo,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Ocupado,Cuenta propia,,300.0,150.0,,...un sólo empleo/ocupación/actividad?,300.0,300.0,No,46 a 60 años,1.0,1.76,360.9232,1
3.0,2005,134530,1.0,Mujer,20,Soltero,Obra social (incluye PAMI),Superior Universitaria Incompleta,Inactivo,,Estudiante,300.0,150.0,,,0.0,0.0,,18 a 29 años,0.76,1.76,360.9232,1
1.0,2005,135290,1.0,Varón,36,Casado,No paga ni le descuentan,Secundaria Incompleta,Ocupado,Obrero o empleado,,1400.0,350.0,No,...un sólo empleo/ocupación/actividad?,1400.0,1400.0,No,30 a 45 años,1.0,2.68,549.5876000000001,0
2.0,2005,135290,1.0,Mujer,24,Casado,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Inactivo,,Ama de casa,1400.0,350.0,,,0.0,0.0,,18 a 29 años,0.76,2.68,549.5876000000001,0
3.0,2005,135290,1.0,Varón,4,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,,Menor de 6 años,1400.0,350.0,,,0.0,0.0,,4 años,0.55,2.68,549.5876000000001,0
4.0,2005,135290,1.0,Varón,1,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,,Menor de 6 años,1400.0,350.0,,,0.0,0.0,,1 años,0.37,2.68,549.5876000000001,0
1.0,2005,135783,2.0,Varón,24,Unido,No paga ni le descuentan,Secundaria Completa,Ocupado,Obrero o empleado,,6100.0,2033.3333333333333,No,...un sólo empleo/ocupación/actividad?,6100.0,6100.0,No,18 a 29 años,1.02,2.24,459.3568,0
2.0,2005,135783,2.0,Mujer,25,Unido,No paga ni le descuentan,Superior Universitaria Incompleta,Inactivo,,Ama de casa,6100.0,2033.3333333333333,,,0.0,0.0,,18 a 29 años,0.76,2.24,459.3568,0
3.0,2005,135783,2.0,Mujer,2,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,,Menor de 6 años,6100.0,2033.3333333333333,,,0.0,0.0,,2 años,0.46,2.24,459.3568,0
1.0,2005,136185,1.0,Mujer,30,Soltero,No paga ni le descuentan,Secundaria Incompleta,Ocupado,Cuenta propia,,1000.0,500.0,,...un sólo empleo/ocupación/actividad?,1000.0,1000.0,Sí,30 a 45 años,0.77,1.28,262.4896,0
2.0,2005,136185,1.0,Varón,3,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,,Menor de 6 años,1000.0,500.0,,,0.0,0.0,,3 años,0.51,1.28,262.4896,0
1.0,2005,136347,1.0,Varón,32,Unido,Obra social (incluye PAMI),Secundaria Incompleta,Ocupado,Obrero o empleado,,4350.0,870.0,Sí,...un sólo empleo/ocupación/actividad?,2500.0,1700.0,Sí,30 a 45 años,1.0,4.0,820.28,0
2.0,2005,136347,1.0,Mujer,33,Unido,Obra social (incluye PAMI),Superior Universitaria Completa,Ocupado,Obrero o empleado,,4350.0,870.0,Sí,...un sólo empleo/ocupación/actividad?,1650.0,1100.0,No,30 a 45 años,0.77,4.0,820.28,0
3.0,2005,136347,1.0,Mujer,16,Soltero,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,,Estudiante,4350.0,870.0,,,200.0,0.0,,16 años,0.77,4.0,820.28,0
4.0,2005,136347,1.0,Varón,11,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,4350.0,870.0,,,0.0,0.0,,11 años,0.82,4.0,820.28,0
5.0,2005,136347,1.0,Mujer,6,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Menor de 10 años,,Estudiante,4350.0,870.0,,,0.0,0.0,,6 años,0.64,4.0,820.28,0
1.0,2005,136379,1.0,Varón,43,Separado o divorciado,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Ocupado,Obrero o empleado,,500.0,83.33333333333333,No,...un sólo empleo/ocupación/actividad?,500.0,500.0,No,30 a 45 años,1.0,4.67,957.6768999999999,1
3.0,2005,136379,1.0,Varón,12,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,500.0,83.33333333333333,,,0.0,0.0,,12 años,0.85,4.67,957.6768999999999,1
5.0,2005,136379,1.0,Varón,10,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,500.0,83.33333333333333,,,0.0,0.0,,10 años,0.79,4.67,957.6768999999999,1
6.0,2005,136379,1.0,Mujer,9,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Menor de 10 años,,Estudiante,500.0,83.33333333333333,,,0.0,0.0,,9 años,0.69,4.67,957.6768999999999,1
7.0,2005,136379,1.0,Mujer,8,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Menor de 10 años,,Estudiante,500.0,83.33333333333333,,,0.0,0.0,,8 años,0.68,4.67,957.6768999999999,1
8.0,2005,136379,1.0,Mujer,7,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Menor de 10 años,,Estudiante,500.0,83.33333333333333,,,0.0,0.0,,7 años,0.66,4.67,957.6768999999999,1
1.0,2005,137621,1.0,Mujer,70,Soltero,Obra social (incluye PAMI),Primaria Completa,Ocupado,Obrero o empleado,,800.0,800.0,Sí,...un sólo empleo/ocupación/actividad?,800.0,400.0,No,61 a 75 años,0.67,0.67,137.39690000000002,0
1.0,2005,139418,1.0,Varón,40,Unido,No paga ni le descuentan,Secundaria Incompleta,Ocupado,Cuenta propia,,650.0,130.0,,...un sólo empleo/ocupación/actividad?,650.0,600.0,No,30 a 45 años,1.0,3.58,734.1505999999999,1
2.0,2005,139418,1.0,Mujer,41,Unido,No paga ni le descuentan,Primaria Completa,Inactivo,,Ama de casa,650.0,130.0,,,0.0,0.0,,30 a 45 años,0.77,3.58,734.1505999999999,1
3.0,2005,139418,1.0,Mujer,10,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,650.0,130.0,,,0.0,0.0,,10 años,0.7,3.58,734.1505999999999,1
4.0,2005,139418,1.0,Varón,5,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Menor de 10 años,,Menor de 6 años,650.0,130.0,,,0.0,0.0,,5 años,0.6,3.58,734.1505999999999,1
5.0,2005,139418,1.0,Mujer,3,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,,Menor de 6 años,650.0,130.0,,,0.0,0.0,,3 años,0.51,3.58,734.1505999999999,1
1.0,2005,140407,1.0,Mujer,63,Separado o divorciado,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Ocupado,Obrero o empleado,,1500.0,300.0,Sí,...un sólo empleo/ocupación/actividad?,300.0,300.0,No,61 a 75 años,0.67,3.74,766.9618,0
2.0,2005,140407,1.0,Mujer,31,Casado,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,,Ama de casa,1500.0,300.0,,,0.0,0.0,,30 a 45 años,0.77,3.74,766.9618,0
3.0,2005,140407,1.0,Varón,37,Casado,Obra social (incluye PAMI),Secundaria Incompleta,Ocupado,Obrero o empleado,,1500.0,300.0,Sí,...un sólo empleo/ocupación/actividad?,1200.0,900.0,No,30 a 45 años,1.0,3.74,766.9618,0
4.0,2005,140407,1.0,Varón,10,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,1500.0,300.0,,,0.0,0.0,,10 años,0.79,3.74,766.9618,0
5.0,2005,140407,1.0,Mujer,3,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,,Menor de 6 años,1500.0,300.0,,,0.0,0.0,,3 años,0.51,3.74,766.9618,0
1.0,2005,141185,1.0,Varón,37,Unido,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Ocupado,Obrero o empleado,,1200.0,400.0,Sí,...un sólo empleo/ocupación/actividad?,600.0,600.0,No,30 a 45 años,1.0,2.14,438.8498,0
2.0,2005,141185,1.0,Mujer,36,Unido,Obra social (incluye PAMI),Secundaria Incompleta,Ocupado,Obrero o empleado,,1200.0,400.0,No,...un sólo empleo/ocupación/actividad?,600.0,600.0,No,30 a 45 años,0.77,2.14,438.8498,0
3.0,2005,141185,1.0,Varón,1,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,,Menor de 6 años,1200.0,400.0,,,0.0,0.0,,1 años,0.37,2.14,438.8498,0
1.0,2005,142350,1.0,Varón,40,Unido,No paga ni le descuentan,Primaria Completa,Ocupado,Cuenta propia,,2200.0,440.0,,...un sólo empleo/ocupación/actividad?,700.0,700.0,Sí,30 a 45 años,1.0,3.76,771.0631999999999,0
2.0,2005,142350,1.0,Mujer,32,Unido,No paga ni le descuentan,Primaria Completa,Ocupado,Obrero o empleado,,2200.0,440.0,No,...un sólo empleo/ocupación/actividad?,1500.0,1500.0,No,30 a 45 años,0.77,3.76,771.0631999999999,0
3.0,2005,142350,1.0,Mujer,9,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Menor de 10 años,,Estudiante,2200.0,440.0,,,0.0,0.0,,9 años,0.69,3.76,771.0631999999999,0
4.0,2005,142350,1.0,Varón,7,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Menor de 10 años,,Estudiante,2200.0,440.0,,,0.0,0.0,,7 años,0.66,3.76,771.0631999999999,0
5.0,2005,142350,1.0,Mujer,6,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Menor de 10 años,,Estudiante,2200.0,440.0,,,0.0,0.0,,6 años,0.64,3.76,771.0631999999999,0
1.0,2005,143295,1.0,Mujer,57,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Ocupado,Obrero o empleado,,243.0,243.0,No,...un sólo empleo/ocupación/actividad?,243.0,200.0,Sí,46 a 60 años,0.76,0.76,155.8532,0
1.0,2005,143667,1.0,Mujer,35,Separado o divorciado,Obra social (incluye PAMI),Superior Universitaria Incompleta,Ocupado,Obrero o empleado,,1920.0,640.0,Sí,...un sólo empleo/ocupación/actividad?,1920.0,1200.0,No,30 a 45 años,0.77,2.27,465.5089,0
2.0,2005,143667,1.0,Mujer,14,Soltero,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,,Estudiante,1920.0,640.0,,,0.0,0.0,,14 años,0.76,2.27,465.5089,0
3.0,2005,143667,1.0,Mujer,12,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,1920.0,640.0,,,0.0,0.0,,12 años,0.74,2.27,465.5089,0
1.0,2005,144765,1.0,Mujer,70,Viudo,Obra social (incluye PAMI),Secundaria Completa,Inactivo,,Jubilado/pensionado,2490.0,2490.0,,,2490.0,0.0,,61 a 75 años,0.67,0.67,137.39690000000002,0
1.0,2005,145684,2.0,Varón,37,Soltero,No paga ni le descuentan,Primaria Completa,Ocupado,Obrero o empleado,,600.0,600.0,No,...un sólo empleo/ocupación/actividad?,600.0,600.0,No,30 a 45 años,1.0,1.0,205.07,0
1.0,2005,146186,1.0,Varón,35,Soltero,Obra social (incluye PAMI),Secundaria Incompleta,Ocupado,Obrero o empleado,,1950.0,1950.0,Sí,...un sólo empleo/ocupación/actividad?,1950.0,1400.0,No,30 a 45 años,1.0,1.0,205.07,0
1.0,2005,146522,1.0,Varón,41,Unido,No paga ni le descuentan,Secundaria Completa,Ocupado,Obrero o empleado,,1990.0,284.2857142857143,Sí,...un sólo empleo/ocupación/actividad?,1000.0,1000.0,No,30 a 45 años,1.0,5.57,1142.2399,0
2.0,2005,146522,1.0,Mujer,48,Unido,No paga ni le descuentan,Secundaria Completa,Inactivo,,Ama de casa,1990.0,284.2857142857143,,,100.0,0.0,,46 a 60 años,0.76,5.57,1142.2399,0
3.0,2005,146522,1.0,Mujer,18,Soltero,No paga ni le descuentan,Primaria Completa,Desocupado,Obrero o empleado,,1990.0,284.2857142857143,,,0.0,0.0,,18 a 29 años,0.76,5.57,1142.2399,0
4.0,2005,146522,1.0,Mujer,12,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,1990.0,284.2857142857143,,,0.0,0.0,,12 años,0.74,5.57,1142.2399,0
5.0,2005,146522,1.0,Varón,15,Soltero,No paga ni le descuentan,Secundaria Incompleta,Inactivo,,Estudiante,1990.0,284.2857142857143,,,0.0,0.0,,15 años,1.0,5.57,1142.2399,0
6.0,2005,146522,1.0,Mujer,20,Soltero,Obra social (incluye PAMI),Primaria Completa,Ocupado,Obrero o empleado,,1990.0,284.2857142857143,Sí,...un sólo empleo/ocupación/actividad?,890.0,890.0,No,18 a 29 años,0.76,5.57,1142.2399,0
7.0,2005,146522,1.0,Mujer,4,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,,Menor de 6 años,1990.0,284.2857142857143,,,0.0,0.0,,4 años,0.55,5.57,1142.2399,0
1.0,2005,146778,1.0,Varón,42,Casado,Obra social (incluye PAMI),Secundaria Completa,Ocupado,Obrero o empleado,,2800.0,560.0,Sí,...un sólo empleo/ocupación/actividad?,1800.0,1800.0,No,30 a 45 años,1.0,4.29,879.7502999999999,0
2.0,2005,146778,1.0,Mujer,42,Casado,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,,Ama de casa,2800.0,560.0,,,0.0,0.0,,30 a 45 años,0.77,4.29,879.7502999999999,0
3.0,2005,146778,1.0,Mujer,18,Soltero,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,,Estudiante,2800.0,560.0,,,0.0,0.0,,18 a 29 años,0.76,4.29,879.7502999999999,0
4.0,2005,146778,1.0,Mujer,12,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,2800.0,560.0,,,0.0,0.0,,12 años,0.74,4.29,879.7502999999999,0
5.0,2005,146778,1.0,Varón,22,Soltero,Obra social (incluye PAMI),Secundaria Completa,Ocupado,Obrero o empleado,,2800.0,560.0,Sí,...un sólo empleo/ocupación/actividad?,1000.0,1000.0,No,18 a 29 años,1.02,4.29,879.7502999999999,0
1.0,2005,148938,1.0,Varón,50,Casado,Obra social (incluye PAMI),Primaria Completa,Ocupado,Obrero o empleado,,4220.0,527.5,Sí,...un sólo empleo/ocupación/actividad?,1560.0,1560.0,No,46 a 60 años,1.0,6.11,1252.9777,0
2.0,2005,148938,1.0,Mujer,45,Casado,Obra social (incluye PAMI),Primaria Completa,Ocupado,Obrero o empleado,,4220.0,527.5,No,...un sólo empleo/ocupación/actividad?,300.0,300.0,No,30 a 45 años,0.77,6.11,1252.9777,0
3.0,2005,148938,1.0,Varón,23,Unido,Obra social (incluye PAMI),Secundaria Completa,Ocupado,Obrero o empleado,,4220.0,527.5,Sí,...un sólo empleo/ocupación/actividad?,2360.0,2360.0,No,18 a 29 años,1.02,6.11,1252.9777,0
4.0,2005,148938,1.0,Mujer,12,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,4220.0,527.5,,,0.0,0.0,,12 años,0.74,6.11,1252.9777,0
5.0,2005,148938,1.0,Varón,10,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,4220.0,527.5,,,0.0,0.0,,10 años,0.79,6.11,1252.9777,0
6.0,2005,148938,1.0,Mujer,23,Unido,Obra social (incluye PAMI),Superior Universitaria Incompleta,Inactivo,,Ama de casa,4220.0,527.5,,,0.0,0.0,,18 a 29 años,0.76,6.11,1252.9777,0
7.0,2005,148938,1.0,Mujer,7,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Menor de 10 años,,Estudiante,4220.0,527.5,,,0.0,0.0,,7 años,0.66,6.11,1252.9777,0
8.0,2005,148938,1.0,Varón,1,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,,Menor de 6 años,4220.0,527.5,,,0.0,0.0,,1 años,0.37,6.11,1252.9777,0
