componente,ano4,codusu,nro_hogar,Sexo,ch06,ch07,ch08,nivel_ed,estado,cat_ocup,cat_inac,itf,ipcf,pp07h,pp03c,p47t,p21,pp03g,Edad,adulto_equiv,ad_equiv_hogar,ingreso_necesario,pobre,edad2,ch10,ch12,ch13,ch14,educ,itf_2025,linea_pobreza,pp3e_tot,pp3f_tot,ch03,horastrab,ix_tot
3.0,2005,126757,1,Varón,17,Soltero,No paga ni le descuentan,Secundaria Incompleta,Inactivo,,Estudiante,700.0,140.0,,,0.0,0.0,,17 años,1.04,4.48,918.7136,1,289,1,5,2,1.0,11.0,734643.6165885577,964181.5453044195,0.0,0.0,3,0.0,5.0
4.0,2005,126757,1,Mujer,16,Soltero,No paga ni le descuentan,Secundaria Incompleta,Inactivo,,Estudiante,700.0,140.0,,,0.0,0.0,,16 años,0.77,4.48,918.7136,1,256,1,5,2,0.0,10.0,734643.6165885577,964181.5453044195,0.0,0.0,3,0.0,5.0
5.0,2005,126757,1,Varón,13,Soltero,No paga ni le descuentan,Primaria Completa,Inactivo,,Estudiante,700.0,140.0,,,0.0,0.0,,13 años,0.9,4.48,918.7136,1,169,1,3,2,7.0,8.0,734643.6165885577,964181.5453044195,0.0,0.0,3,0.0,5.0
1.0,2005,127292,1,Mujer,73,Viudo,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,,Jubilado/pensionado,2624.0,1312.0,,,424.0,0.0,,61 a 75 años,0.67,1.67,342.46689999999995,0,5329,2,4,2,3.0,11.0,2753864.0713262507,359415.888539817,0.0,0.0,1,0.0,2.0
2.0,2005,127292,1,Varón,52,Soltero,Obra social (incluye PAMI),Superior Universitaria Completa,Ocupado,Obrero o empleado,,2624.0,1312.0,Sí,...más de un empleo/ocupación/actividad?,2200.0,1500.0,No,46 a 60 años,1.0,1.67,342.46689999999995,0,2704,2,7,1,,19.0,2753864.0713262507,359415.888539817,30.0,20.0,3,50.0,2.0
1.0,2005,127532,1,Varón,38,Casado,Obra social (incluye PAMI),Superior Universitaria Completa,Desocupado,Obrero o empleado,,1730.0,576.6666666666666,,,0.0,0.0,,30 a 45 años,1.0,2.23,457.3061,0,1444,2,7,1,,19.0,1815619.2238545783,479938.5817028695,0.0,0.0,1,0.0,3.0
2.0,2005,127532,1,Mujer,37,Casado,Obra social (incluye PAMI),Superior Universitaria Completa,Ocupado,Obrero o empleado,,1730.0,576.6666666666666,Sí,...más de un empleo/ocupación/actividad?,1730.0,230.0,No,30 a 45 años,0.77,2.23,457.3061,0,1369,2,7,1,,19.0,1815619.2238545783,479938.5817028695,6.0,35.0,2,41.0,3.0
3.0,2005,127532,1,Mujer,2,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,,Menor de 6 años,1730.0,576.6666666666666,,,0.0,0.0,,2 años,0.46,2.23,457.3061,0,4,3,0,0,,0.0,1815619.2238545783,479938.5817028695,0.0,0.0,3,0.0,3.0
1.0,2005,130206,1,Mujer,77,Viudo,Obra social (incluye PAMI),Primaria Completa,Inactivo,,Jubilado/pensionado,700.0,350.0,,,400.0,0.0,,más de 75 años,0.63,1.39,285.0473,0,5929,2,1,1,,1.0,734643.6165885577,299154.54195829085,0.0,0.0,1,0.0,2.0
2.0,2005,130206,1,Mujer,55,Separado o divorciado,No paga ni le descuentan,Primaria Completa,Ocupado,Obrero o empleado,,700.0,350.0,No,...un sólo empleo/ocupación/actividad?,300.0,300.0,Sí,46 a 60 años,0.76,1.39,285.0473,0,3025,2,1,1,,1.0,734643.6165885577,299154.54195829085,24.0,0.0,3,24.0,2.0
1.0,2005,130257,1,Mujer,58,Soltero,No paga ni le descuentan,Secundaria Completa,Inactivo,,Ama de casa,3300.0,550.0,,,150.0,0.0,,46 a 60 años,0.76,4.86,996.6402,0,3364,2,4,1,,13.0,3463319.9067746294,1045964.8013793479,0.0,0.0,1,0.0,6.0
2.0,2005,130257,1,Varón,58,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Ocupado,Obrero o empleado,,3300.0,550.0,Sí,...un sólo empleo/ocupación/actividad?,2450.0,1700.0,No,46 a 60 años,1.0,4.86,996.6402,0,3364,2,1,2,1.0,0.0,3463319.9067746294,1045964.8013793479,50.0,0.0,10,50.0,6.0
3.0,2005,130257,1,Varón,20,Soltero,Obra social (incluye PAMI),Primaria Completa,Ocupado,Obrero o empleado,,3300.0,550.0,Sí,...un sólo empleo/ocupación/actividad?,700.0,500.0,No,18 a 29 años,1.02,4.86,996.6402,0,400,2,1,1,,1.0,3463319.9067746294,1045964.8013793479,72.0,0.0,10,72.0,6.0
4.0,2005,130257,1,Varón,14,Soltero,No paga ni le descuentan,Secundaria Incompleta,Inactivo,,Estudiante,3300.0,550.0,,,0.0,0.0,,14 años,0.96,4.86,996.6402,0,196,1,3,2,8.0,9.0,3463319.9067746294,1045964.8013793479,0.0,0.0,3,0.0,6.0
5.0,2005,130257,1,Mujer,17,Soltero,Obra social (incluye PAMI),Primaria Completa,Inactivo,,Otros,3300.0,550.0,,,0.0,0.0,,17 años,0.77,4.86,996.6402,0,289,2,1,1,,1.0,3463319.9067746294,1045964.8013793479,0.0,0.0,10,0.0,6.0
6.0,2005,130257,1,Varón,0,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,,Menor de 6 años,3300.0,550.0,,,0.0,0.0,,0 años,0.35,4.86,996.6402,0,0,0,0,0,,0.0,3463319.9067746294,1045964.8013793479,0.0,0.0,10,0.0,6.0
1.0,2005,131006,1,Varón,39,Unido,Obra social (incluye PAMI),Primaria Completa,Ocupado,Obrero o empleado,,2150.0,537.5,Sí,...un sólo empleo/ocupación/actividad?,850.0,850.0,No,30 a 45 años,1.0,2.64,541.3848,0,1521,2,1,1,,1.0,2256405.393807713,568178.4106258187,52.0,0.0,1,52.0,4.0
2.0,2005,131006,1,Mujer,27,Unido,Obra social (incluye PAMI),Secundaria Completa,Ocupado,Obrero o empleado,,2150.0,537.5,Sí,...un sólo empleo/ocupación/actividad?,1300.0,1300.0,No,18 a 29 años,0.76,2.64,541.3848,0,729,2,4,1,,13.0,2256405.393807713,568178.4106258187,43.0,0.0,2,43.0,4.0
3.0,2005,131006,1,Varón,3,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,,Menor de 6 años,2150.0,537.5,,,0.0,0.0,,3 años,0.51,2.64,541.3848,0,9,3,0,0,,0.0,2256405.393807713,568178.4106258187,0.0,0.0,3,0.0,4.0
4.0,2005,131006,1,Mujer,1,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,,Menor de 6 años,2150.0,537.5,,,0.0,0.0,,1 años,0.37,2.64,541.3848,0,1,0,0,0,,0.0,2256405.393807713,568178.4106258187,0.0,0.0,3,0.0,4.0
1.0,2005,131317,1,Varón,46,Casado,Obra social (incluye PAMI),Secundaria Completa,Ocupado,Obrero o empleado,,3100.0,387.5,No,...un sólo empleo/ocupación/actividad?,2000.0,2000.0,No,46 a 60 años,1.0,6.47,1326.8029,0,2116,2,4,1,,13.0,3253421.73060647,1392467.5442231235,60.0,0.0,1,60.0,8.0
2.0,2005,131317,1,Mujer,42,Casado,Obra social (incluye PAMI),Secundaria Completa,Ocupado,Obrero o empleado,,3100.0,387.5,Sí,...un sólo empleo/ocupación/actividad?,400.0,400.0,No,30 a 45 años,0.77,6.47,1326.8029,0,1764,2,4,1,,13.0,3253421.73060647,1392467.5442231235,48.0,0.0,2,48.0,8.0
3.0,2005,131317,1,Mujer,24,Soltero,No paga ni le descuentan,Secundaria Completa,Ocupado,Obrero o empleado,,3100.0,387.5,No,...un sólo empleo/ocupación/actividad?,0.0,0.0,No,18 a 29 años,0.76,6.47,1326.8029,0,576,2,4,1,,13.0,3253421.73060647,1392467.5442231235,48.0,0.0,3,48.0,8.0
4.0,2005,131317,1,Mujer,23,Soltero,No paga ni le descuentan,Secundaria Completa,Inactivo,,Ama de casa,3100.0,387.5,,,0.0,0.0,,18 a 29 años,0.76,6.47,1326.8029,0,529,2,4,1,,13.0,3253421.73060647,1392467.5442231235,0.0,0.0,3,0.0,8.0
5.0,2005,131317,1,Varón,20,Soltero,Obra social (incluye PAMI),Secundaria Completa,Ocupado,Obrero o empleado,,3100.0,387.5,Sí,...un sólo empleo/ocupación/actividad?,700.0,700.0,No,18 a 29 años,1.02,6.47,1326.8029,0,400,2,5,1,,13.0,3253421.73060647,1392467.5442231235,48.0,0.0,3,48.0,8.0
6.0,2005,131317,1,Mujer,14,Soltero,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,,Estudiante,3100.0,387.5,,,0.0,0.0,,14 años,0.76,6.47,1326.8029,0,196,1,5,2,0.0,10.0,3253421.73060647,1392467.5442231235,0.0,0.0,3,0.0,8.0
7.0,2005,131317,1,Mujer,10,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,3100.0,387.5,,,0.0,0.0,,10 años,0.7,6.47,1326.8029,0,100,1,3,2,6.0,7.0,3253421.73060647,1392467.5442231235,0.0,0.0,3,0.0,8.0
8.0,2005,131317,1,Mujer,10,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,3100.0,387.5,,,0.0,0.0,,10 años,0.7,6.47,1326.8029,0,100,1,3,2,6.0,7.0,3253421.73060647,1392467.5442231235,0.0,0.0,3,0.0,8.0
1.0,2005,132050,1,Varón,62,Casado,Obra social y mutual/prepaga/servicio de emergencia,Superior Universitaria Completa,Inactivo,,Jubilado/pensionado,1000.0,500.0,,,1000.0,0.0,,61 a 75 años,0.83,1.59,326.0613,0,3844,2,7,1,,19.0,1049490.8808407967,342198.3609450953,0.0,0.0,1,0.0,2.0
2.0,2005,132050,1,Mujer,59,Casado,Obra social y mutual/prepaga/servicio de emergencia,Superior Universitaria Completa,Inactivo,,Ama de casa,1000.0,500.0,,,0.0,0.0,,46 a 60 años,0.76,1.59,326.0613,0,3481,2,6,1,,16.0,1049490.8808407967,342198.3609450953,0.0,0.0,2,0.0,2.0
1.0,2005,133015,1,Varón,47,Casado,Obra social (incluye PAMI),Primaria Completa,Ocupado,Patrón,,4000.0,1333.3333333333333,,...un sólo empleo/ocupación/actividad?,4000.0,4000.0,No,46 a 60 años,1.0,2.81,576.2467,0,2209,2,1,1,,1.0,4197963.523363187,604765.6567646024,40.0,0.0,1,40.0,3.0
2.0,2005,133015,1,Mujer,44,Casado,Obra social (incluye PAMI),Secundaria Completa,Inactivo,,Ama de casa,4000.0,1333.3333333333333,,,0.0,0.0,,30 a 45 años,0.77,2.81,576.2467,0,1936,2,4,1,,13.0,4197963.523363187,604765.6567646024,0.0,0.0,2,0.0,3.0
4.0,2005,133015,1,Varón,17,Soltero,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,,Estudiante,4000.0,1333.3333333333333,,,0.0,0.0,,17 años,1.04,2.81,576.2467,0,289,1,5,2,2.0,12.0,4197963.523363187,604765.6567646024,0.0,0.0,3,0.0,3.0
1.0,2005,133739,1,Varón,54,Casado,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Ocupado,Cuenta propia,,1450.0,241.66666666666663,,...un sólo empleo/ocupación/actividad?,650.0,600.0,Sí,46 a 60 años,1.0,5.59,1146.3412999999998,0,2916,2,1,2,1.0,0.0,1521761.7772191553,1203074.7406811838,80.0,0.0,1,80.0,6.0
2.0,2005,133739,1,Mujer,41,Casado,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Inactivo,,Ama de casa,1450.0,241.66666666666663,,,0.0,0.0,,30 a 45 años,0.77,5.59,1146.3412999999998,0,1681,2,1,2,1.0,0.0,1521761.7772191553,1203074.7406811838,0.0,0.0,2,0.0,6.0
3.0,2005,133739,1,Mujer,23,Soltero,No paga ni le descuentan,Primaria Completa,Desocupado,Obrero o empleado,,1450.0,241.66666666666663,,,0.0,0.0,,18 a 29 años,0.76,5.59,1146.3412999999998,0,529,2,1,1,,1.0,1521761.7772191553,1203074.7406811838,0.0,0.0,3,0.0,6.0
4.0,2005,133739,1,Varón,21,Soltero,No paga ni le descuentan,Primaria Completa,Ocupado,Cuenta propia,,1450.0,241.66666666666663,,...un sólo empleo/ocupación/actividad?,400.0,400.0,Sí,18 a 29 años,1.02,5.59,1146.3412999999998,0,441,2,1,1,,1.0,1521761.7772191553,1203074.7406811838,38.0,0.0,3,38.0,6.0
5.0,2005,133739,1,Varón,18,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Ocupado,Cuenta propia,,1450.0,241.66666666666663,,...un sólo empleo/ocupación/actividad?,400.0,400.0,Sí,18 a 29 años,1.02,5.59,1146.3412999999998,0,324,2,1,2,6.0,0.0,1521761.7772191553,1203074.7406811838,40.0,0.0,3,40.0,6.0
6.0,2005,133739,1,Varón,19,Soltero,No paga ni le descuentan,Primaria Completa,Desocupado,Obrero o empleado,,1450.0,241.66666666666663,,,0.0,0.0,,18 a 29 años,1.02,5.59,1146.3412999999998,0,361,2,1,1,,1.0,1521761.7772191553,1203074.7406811838,0.0,0.0,3,0.0,6.0
1.0,2005,134530,1,Varón,55,Viudo,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Ocupado,Cuenta propia,,300.0,150.0,,...un sólo empleo/ocupación/actividad?,300.0,300.0,No,46 a 60 años,1.0,1.76,360.9232,1,3025,2,1,2,3.0,0.0,314847.264252239,378785.60708387906,56.0,0.0,1,56.0,2.0
3.0,2005,134530,1,Mujer,20,Soltero,Obra social (incluye PAMI),Superior Universitaria Incompleta,Inactivo,,Estudiante,300.0,150.0,,,0.0,0.0,,18 a 29 años,0.76,1.76,360.9232,1,400,1,7,2,0.0,13.0,314847.264252239,378785.60708387906,0.0,0.0,3,0.0,2.0
1.0,2005,135290,1,Varón,36,Casado,No paga ni le descuentan,Secundaria Incompleta,Ocupado,Obrero o empleado,,1400.0,350.0,No,...un sólo empleo/ocupación/actividad?,1400.0,1400.0,No,30 a 45 años,1.0,2.68,549.5876000000001,0,1296,2,4,2,3.0,11.0,1469287.2331771154,576787.1744231796,54.0,0.0,1,54.0,4.0
2.0,2005,135290,1,Mujer,24,Casado,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Inactivo,,Ama de casa,1400.0,350.0,,,0.0,0.0,,18 a 29 años,0.76,2.68,549.5876000000001,0,576,2,1,2,6.0,0.0,1469287.2331771154,576787.1744231796,0.0,0.0,2,0.0,4.0
3.0,2005,135290,1,Varón,4,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,,Menor de 6 años,1400.0,350.0,,,0.0,0.0,,4 años,0.55,2.68,549.5876000000001,0,16,3,0,0,,0.0,1469287.2331771154,576787.1744231796,0.0,0.0,3,0.0,4.0
4.0,2005,135290,1,Varón,1,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,,Menor de 6 años,1400.0,350.0,,,0.0,0.0,,1 años,0.37,2.68,549.5876000000001,0,1,0,0,0,,0.0,1469287.2331771154,576787.1744231796,0.0,0.0,3,0.0,4.0
1.0,2005,135783,2,Varón,24,Unido,No paga ni le descuentan,Secundaria Completa,Ocupado,Obrero o empleado,,6100.0,2033.3333333333333,No,...un sólo empleo/ocupación/actividad?,6100.0,6100.0,No,18 a 29 años,1.02,2.24,459.3568,0,576,2,4,1,,13.0,6401894.37312886,482090.77265220974,72.0,0.0,1,72.0,3.0
2.0,2005,135783,2,Mujer,25,Unido,No paga ni le descuentan,Superior Universitaria Incompleta,Inactivo,,Ama de casa,6100.0,2033.3333333333333,,,0.0,0.0,,18 a 29 años,0.76,2.24,459.3568,0,625,2,7,2,2.0,15.0,6401894.37312886,482090.77265220974,0.0,0.0,2,0.0,3.0
3.0,2005,135783,2,Mujer,2,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,,Menor de 6 años,6100.0,2033.3333333333333,,,0.0,0.0,,2 años,0.46,2.24,459.3568,0,4,3,0,0,,0.0,6401894.37312886,482090.77265220974,0.0,0.0,3,0.0,3.0
1.0,2005,136185,1,Mujer,30,Soltero,No paga ni le descuentan,Secundaria Incompleta,Ocupado,Cuenta propia,,1000.0,500.0,,...un sólo empleo/ocupación/actividad?,1000.0,1000.0,Sí,30 a 45 años,0.77,1.28,262.4896,0,900,2,4,2,3.0,11.0,1049490.8808407967,275480.4415155484,60.0,0.0,1,60.0,2.0
2.0,2005,136185,1,Varón,3,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,,Menor de 6 años,1000.0,500.0,,,0.0,0.0,,3 años,0.51,1.28,262.4896,0,9,3,0,0,,0.0,1049490.8808407967,275480.4415155484,0.0,0.0,3,0.0,2.0
1.0,2005,136347,1,Varón,32,Unido,Obra social (incluye PAMI),Secundaria Incompleta,Ocupado,Obrero o empleado,,4350.0,870.0,Sí,...un sólo empleo/ocupación/actividad?,2500.0,1700.0,Sí,30 a 45 años,1.0,4.0,820.28,0,1024,2,4,2,3.0,11.0,4565285.331657466,860876.3797360887,49.0,0.0,1,49.0,5.0
2.0,2005,136347,1,Mujer,33,Unido,Obra social (incluye PAMI),Superior Universitaria Completa,Ocupado,Obrero o empleado,,4350.0,870.0,Sí,...un sólo empleo/ocupación/actividad?,1650.0,1100.0,No,30 a 45 años,0.77,4.0,820.28,0,1089,2,6,1,,16.0,4565285.331657466,860876.3797360887,48.0,0.0,2,48.0,5.0
3.0,2005,136347,1,Mujer,16,Soltero,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,,Estudiante,4350.0,870.0,,,200.0,0.0,,16 años,0.77,4.0,820.28,0,256,1,5,2,0.0,10.0,4565285.331657466,860876.3797360887,0.0,0.0,3,0.0,5.0
4.0,2005,136347,1,Varón,11,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,4350.0,870.0,,,0.0,0.0,,11 años,0.82,4.0,820.28,0,121,1,3,2,6.0,7.0,4565285.331657466,860876.3797360887,0.0,0.0,3,0.0,5.0
5.0,2005,136347,1,Mujer,6,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Menor de 10 años,,Estudiante,4350.0,870.0,,,0.0,0.0,,6 años,0.64,4.0,820.28,0,36,1,3,2,0.0,1.0,4565285.331657466,860876.3797360887,0.0,0.0,3,0.0,5.0
1.0,2005,136379,1,Varón,43,Separado o divorciado,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Ocupado,Obrero o empleado,,500.0,83.33333333333333,No,...un sólo empleo/ocupación/actividad?,500.0,500.0,No,30 a 45 años,1.0,4.67,957.6769,1,1849,2,1,2,3.0,0.0,524745.4404203984,1005073.1733418837,48.0,0.0,1,48.0,6.0
3.0,2005,136379,1,Varón,12,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,500.0,83.33333333333333,,,0.0,0.0,,12 años,0.85,4.67,957.6769,1,144,1,3,2,6.0,7.0,524745.4404203984,1005073.1733418837,0.0,0.0,3,0.0,6.0
5.0,2005,136379,1,Varón,10,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,500.0,83.33333333333333,,,0.0,0.0,,10 años,0.79,4.67,957.6769,1,100,1,3,2,3.0,4.0,524745.4404203984,1005073.1733418837,0.0,0.0,3,0.0,6.0
6.0,2005,136379,1,Mujer,9,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Menor de 10 años,,Estudiante,500.0,83.33333333333333,,,0.0,0.0,,9 años,0.69,4.67,957.6769,1,81,1,3,2,1.0,2.0,524745.4404203984,1005073.1733418837,0.0,0.0,3,0.0,6.0
7.0,2005,136379,1,Mujer,8,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Menor de 10 años,,Estudiante,500.0,83.33333333333333,,,0.0,0.0,,8 años,0.68,4.67,957.6769,1,64,1,3,2,2.0,3.0,524745.4404203984,1005073.1733418837,0.0,0.0,3,0.0,6.0
8.0,2005,136379,1,Mujer,7,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Menor de 10 años,,Estudiante,500.0,83.33333333333333,,,0.0,0.0,,7 años,0.66,4.67,957.6769,1,49,1,3,2,0.0,1.0,524745.4404203984,1005073.1733418837,0.0,0.0,3,0.0,6.0
1.0,2005,137621,1,Mujer,70,Soltero,Obra social (incluye PAMI),Primaria Completa,Ocupado,Obrero o empleado,,800.0,800.0,Sí,...un sólo empleo/ocupación/actividad?,800.0,400.0,No,61 a 75 años,0.67,0.67,137.39690000000002,0,4900,2,1,1,,1.0,839592.7046726374,144196.7936057949,12.0,0.0,1,12.0,1.0
1.0,2005,139418,1,Varón,40,Unido,No paga ni le descuentan,Secundaria Incompleta,Ocupado,Cuenta propia,,650.0,130.0,,...un sólo empleo/ocupación/actividad?,650.0,600.0,No,30 a 45 años,1.0,3.58,734.1505999999999,1,1600,2,4,2,4.0,12.0,682169.072546518,770484.3598637994,58.0,0.0,1,58.0,5.0
2.0,2005,139418,1,Mujer,41,Unido,No paga ni le descuentan,Primaria Completa,Inactivo,,Ama de casa,650.0,130.0,,,0.0,0.0,,30 a 45 años,0.77,3.58,734.1505999999999,1,1681,2,1,1,,1.0,682169.072546518,770484.3598637994,0.0,0.0,2,0.0,5.0
3.0,2005,139418,1,Mujer,10,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,650.0,130.0,,,0.0,0.0,,10 años,0.7,3.58,734.1505999999999,1,100,1,3,2,4.0,5.0,682169.072546518,770484.3598637994,0.0,0.0,3,0.0,5.0
4.0,2005,139418,1,Varón,5,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Menor de 10 años,,Menor de 6 años,650.0,130.0,,,0.0,0.0,,5 años,0.6,3.58,734.1505999999999,1,25,1,3,2,0.0,1.0,682169.072546518,770484.3598637994,0.0,0.0,3,0.0,5.0
5.0,2005,139418,1,Mujer,3,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,,Menor de 6 años,650.0,130.0,,,0.0,0.0,,3 años,0.51,3.58,734.1505999999999,1,9,3,0,0,,0.0,682169.072546518,770484.3598637994,0.0,0.0,3,0.0,5.0
1.0,2005,140407,1,Mujer,63,Separado o divorciado,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Ocupado,Obrero o empleado,,1500.0,300.0,Sí,...un sólo empleo/ocupación/actividad?,300.0,300.0,No,61 a 75 años,0.67,3.74,766.9618,0,3969,2,1,2,5.0,0.0,1574236.3212611952,804919.415053243,56.0,0.0,1,56.0,5.0
2.0,2005,140407,1,Mujer,31,Casado,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,,Ama de casa,1500.0,300.0,,,0.0,0.0,,30 a 45 años,0.77,3.74,766.9618,0,961,2,4,2,2.0,10.0,1574236.3212611952,804919.415053243,0.0,0.0,3,0.0,5.0
3.0,2005,140407,1,Varón,37,Casado,Obra social (incluye PAMI),Secundaria Incompleta,Ocupado,Obrero o empleado,,1500.0,300.0,Sí,...un sólo empleo/ocupación/actividad?,1200.0,900.0,No,30 a 45 años,1.0,3.74,766.9618,0,1369,2,4,2,4.0,12.0,1574236.3212611952,804919.415053243,84.0,0.0,4,84.0,5.0
4.0,2005,140407,1,Varón,10,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,1500.0,300.0,,,0.0,0.0,,10 años,0.79,3.74,766.9618,0,100,1,3,2,5.0,6.0,1574236.3212611952,804919.415053243,0.0,0.0,5,0.0,5.0
5.0,2005,140407,1,Mujer,3,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,,Menor de 6 años,1500.0,300.0,,,0.0,0.0,,3 años,0.51,3.74,766.9618,0,9,3,0,0,,0.0,1574236.3212611952,804919.415053243,0.0,0.0,5,0.0,5.0
1.0,2005,141185,1,Varón,37,Unido,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Ocupado,Obrero o empleado,,1200.0,400.0,Sí,...un sólo empleo/ocupación/actividad?,600.0,600.0,No,30 a 45 años,1.0,2.14,438.8498,0,1369,2,1,2,4.0,0.0,1259389.057008956,460568.8631588075,44.0,0.0,1,44.0,3.0
